kabupaten,tahun,bulan,ndvi,curah_hujan,luas_lahan,produksi,ndvi_lag1,rain_lag1,ndvi_lag2,rain_lag2,ndvi_lag3,rain_lag3
Badung,2018,4,0.60353160656374,25.43166105213736,6779.65646097921,15826.41,0.689446126318999,169.8128940346379,0.6794072886523369,293.8934312881568,0.5700960212761769,537.0530211652639
Bangli,2018,4,0.6751983693121336,38.258781195834025,2372.245399945641,873.13,0.6863346170521224,209.78993472850647,0.6666190416473293,381.9069725368667,0.6766207449902828,601.5765712411031
Buleleng,2018,4,0.6671035174114047,62.50049528866874,7658.447426861226,16146.2,0.7658099297888071,241.98597195592248,0.786264310730488,386.6995342671245,0.5697139170464297,565.0002784302494
Gianyar,2018,4,0.6527132887333371,31.844874071329365,8118.96089555424,10705.17,0.6759203718260818,150.82353923982632,0.62627231595917,265.5960627459881,0.6048173238263079,437.9245920331073
Jembrana,2018,4,0.5647239238922417,63.81228397465941,5976.467866032081,4216.31,0.5460671234237385,204.351528406318,0.7425426672250153,308.2055352290562,0.6894557524876234,445.386496947829
Karangasem,2018,4,0.6825128687778064,36.49661746849689,5280.371140520672,4468.03,0.748661468082736,181.7730687044784,0.72900606101679,281.8672532033369,0.7516723903737024,487.0580324927887
Klungkung,2018,4,0.618325800451477,18.543850573381523,2151.653105477364,2072.54,0.6878517896037171,106.72994294505004,0.6937190832165332,143.60306150951624,0.67581673383341,383.7476282811338
Tabanan,2018,4,0.6489005515789733,48.250121151617165,12755.139757528272,34112.56,0.6921287555649476,220.9559931511486,0.6469241414243593,347.61344548716755,0.5863680646945603,531.5531303067584
Denpasar,2018,4,0.600085744379649,15.675769505098934,1172.3414495602472,2872.98,0.6510578778103729,133.6411107343506,0.6320982345896151,222.82562567597543,0.5603065846405753,485.350047766709
Badung,2018,5,0.5518988454236351,19.78919256920177,6779.65646097921,11494.99,0.60353160656374,25.43166105213736,0.689446126318999,169.8128940346379,0.6794072886523369,293.8934312881568
Bangli,2018,5,0.6414668094577449,15.916572293892084,2372.245399945641,2069.77,0.6751983693121336,38.258781195834025,0.6863346170521224,209.78993472850647,0.6666190416473293,381.9069725368667
Buleleng,2018,5,0.5855397017220422,18.873970575567864,7658.447426861226,12892.53,0.6671035174114047,62.50049528866874,0.7658099297888071,241.98597195592248,0.786264310730488,386.6995342671245
Gianyar,2018,5,0.610213635168195,20.651620779625407,8118.96089555424,16229.13,0.6527132887333371,31.844874071329365,0.6759203718260818,150.82353923982632,0.62627231595917,265.5960627459881
Jembrana,2018,5,0.6577594691201213,21.49046536842119,5976.467866032081,5656.64,0.5647239238922417,63.81228397465941,0.5460671234237385,204.351528406318,0.7425426672250153,308.2055352290562
